,score,time,label,n,subject,contrast
11054,0.0033935406492879025,0.18,t2_s0_h0,3163,05,voiced
11055,0.040688743411110145,0.19,t2_s0_h0,3163,05,voiced
11056,0.041710075979061415,0.2,t2_s0_h0,3163,05,voiced
11057,0.03264456070057108,0.21,t2_s0_h0,3163,05,voiced
11058,0.057558584493499904,0.22,t2_s0_h0,3163,05,voiced
11059,0.014895508691939395,0.23,t2_s0_h0,3163,05,voiced
11060,0.006764009703820268,0.24,t2_s0_h0,3163,05,voiced
11061,0.013066806016047072,0.25,t2_s0_h0,3163,05,voiced
11062,0.01655327454210485,0.26,t2_s0_h0,3163,05,voiced
11063,0.023205421039947046,0.27,t2_s0_h0,3163,05,voiced
11064,0.022728034099602133,0.28,t2_s0_h0,3163,05,voiced
11065,0.020745358049308906,0.29,t2_s0_h0,3163,05,voiced
11066,0.027122503980904877,0.3,t2_s0_h0,3163,05,voiced
11067,0.07089546416330779,0.31,t2_s0_h0,3163,05,voiced
11068,0.07009323581994926,0.32,t2_s0_h0,3163,05,voiced
11069,0.03185826016652032,0.33,t2_s0_h0,3163,05,voiced
11070,0.018365501543175428,0.34,t2_s0_h0,3163,05,voiced
11071,-0.0005388874910000507,0.35,t2_s0_h0,3163,05,voiced
11072,0.02770013344162277,0.36,t2_s0_h0,3163,05,voiced
11073,0.041781495658446355,0.37,t2_s0_h0,3163,05,voiced
11074,0.04338986665135356,0.38,t2_s0_h0,3163,05,voiced
11075,0.010135259581747888,0.39,t2_s0_h0,3163,05,voiced
11076,0.006079704213747742,0.4,t2_s0_h0,3163,05,voiced
11077,0.016711345132782673,0.41,t2_s0_h0,3163,05,voiced
11078,0.017505570757747786,0.42,t2_s0_h0,3163,05,voiced
11079,-0.0006746694025708347,0.43,t2_s0_h0,3163,05,voiced
11080,-0.003601421887658759,0.44,t2_s0_h0,3163,05,voiced
11081,-0.009074410250587738,0.45,t2_s0_h0,3163,05,voiced
11082,0.010408529589046818,0.46,t2_s0_h0,3163,05,voiced
11083,0.002694534093062732,0.47,t2_s0_h0,3163,05,voiced
11084,0.04241341645660478,0.48,t2_s0_h0,3163,05,voiced
11085,0.031393777583444575,0.49,t2_s0_h0,3163,05,voiced
11086,0.009733846156924643,0.5,t2_s0_h0,3163,05,voiced
11087,0.02628647575909861,0.51,t2_s0_h0,3163,05,voiced
11088,0.02218457961798444,0.52,t2_s0_h0,3163,05,voiced
11089,-0.002008950856375222,0.53,t2_s0_h0,3163,05,voiced
11090,0.0005587324669845243,0.54,t2_s0_h0,3163,05,voiced
